,HSNS1,HSNS2,HSNS3,HSNS4,HSNS5,HSNS6,HSNS7,HSNS8,HSNS9,HSNS10,DDP1,DDP2,DDP3,DDP4,DDN1,DDN2,DDN3,DDN4,DDM1,DDM2,DDM3,DDM4,age,gender,accuracy,country,HSNScale
174,5,3,1,1,5,5,1,5,1,2,3,5,2,2,5,5,5,3,5,5,5,5,28,1,85,US,0.54
176,5,2,5,3,3,1,3,4,5,2,1,3,4,4,4,4,5,4,5,4,5,5,21,1,90,CA,0.62
177,3,2,2,2,2,5,3,3,4,2,1,1,2,2,4,3,3,2,1,1,2,2,19,1,100,US,0.52
178,2,3,2,2,4,4,3,2,4,2,1,1,1,1,3,3,1,1,2,1,1,1,25,1,95,EC,0.52
179,4,4,4,2,5,5,2,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,33,1,90,US,0.72
180,4,1,3,3,4,4,2,4,2,2,4,2,4,4,4,2,3,2,4,5,2,2,24,2,85,PH,0.54
181,4,2,4,3,3,4,2,4,4,4,2,3,4,4,4,3,2,3,3,4,2,4,48,1,90,US,0.6
182,5,4,4,1,4,5,4,4,5,1,4,3,2,5,4,4,5,2,4,5,5,5,24,1,70,SG,0.72
183,2,2,4,4,1,4,1,2,4,1,1,2,2,1,4,2,1,1,2,4,3,1,63,2,90,US,0.48
184,3,1,4,2,3,4,2,3,2,3,1,1,3,4,1,2,3,3,2,3,3,1,49,2,90,US,0.48
185,4,3,4,4,3,4,4,4,5,3,3,2,5,4,3,3,4,4,4,4,1,4,24,1,70,IN,0.7
186,2,1,3,2,3,5,2,4,2,5,5,3,5,4,1,1,2,2,3,4,2,2,19,1,97,US,0.48
187,3,2,2,2,4,2,4,3,4,3,2,2,3,2,5,4,4,4,3,4,4,2,38,1,90,CA,0.52
188,1,4,3,1,5,4,5,1,1,5,1,1,4,5,1,1,1,1,1,2,1,1,42,2,85,US,0.5
189,4,1,4,3,4,4,2,4,3,5,4,3,4,4,3,3,3,2,3,2,4,2,25,1,85,GB,0.58
190,2,2,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31,1,80,US,0.44
191,5,2,1,2,4,2,4,3,3,4,2,1,5,4,5,5,4,2,4,2,4,2,34,1,90,NL,0.52
192,3,2,3,1,2,5,1,5,4,3,4,2,4,5,4,3,5,2,3,2,1,1,21,1,95,ZA,0.52
193,4,4,2,1,2,2,1,3,4,4,4,1,2,5,4,4,4,3,1,1,3,1,21,1,80,US,0.46
194,4,2,3,2,3,4,3,4,2,4,3,2,4,4,2,3,2,2,2,4,2,1,24,2,88,US,0.54
195,5,2,3,4,3,3,5,3,4,2,3,1,5,3,5,5,5,3,3,5,5,2,25,1,100,US,0.64
196,4,1,1,2,2,5,5,5,2,5,1,1,5,5,5,5,5,3,4,5,1,5,22,1,90,DO,0.54
197,4,4,3,2,3,4,4,3,2,2,1,1,2,5,3,3,1,1,1,1,2,1,42,2,70,NZ,0.58
198,1,5,2,1,1,4,4,1,3,1,1,1,1,1,4,4,1,1,1,1,1,1,29,2,80,AU,0.44
199,4,4,2,2,2,0,5,2,4,2,2,3,2,4,4,4,3,2,1,2,3,1,44,2,50,IE,0.5
200,0,4,4,1,2,4,2,2,4,1,1,2,1,2,4,3,2,1,2,4,2,1,40,1,90,NL,0.46
201,3,3,3,2,3,3,3,4,2,4,1,2,2,2,2,3,3,2,1,2,2,1,35,2,95,US,0.52
202,5,1,4,2,5,4,1,4,2,5,2,1,5,4,1,1,1,1,1,1,2,1,36,2,80,NZ,0.56
203,4,1,4,2,4,5,2,4,4,2,5,5,5,5,5,5,3,3,4,4,3,4,20,1,70,US,0.6
204,5,2,3,5,4,5,2,5,4,3,5,2,4,4,4,5,4,4,5,5,4,3,34,1,95,GR,0.7
205,3,5,4,2,3,4,1,2,3,2,4,1,4,4,3,2,3,1,3,4,3,3,18,2,90,AU,0.54
206,4,1,4,2,2,5,1,2,3,1,2,1,4,2,4,1,3,2,3,4,4,3,16,2,80,PH,0.48
207,4,5,4,1,1,5,5,3,5,1,3,1,4,4,4,5,2,4,5,5,4,4,38,1,80,US,0.66
208,4,4,4,5,2,4,4,3,4,2,2,2,2,5,2,2,2,3,4,2,3,3,44,2,86,CA,0.68
210,5,5,5,1,2,5,5,4,1,5,4,3,2,5,4,1,4,3,4,5,5,1,40,2,100,US,0.66
211,5,4,2,4,4,5,4,4,5,2,4,5,5,5,5,5,5,2,5,5,2,4,20,1,100,RO,0.74
212,4,4,4,2,3,4,4,2,4,2,1,2,2,4,4,3,2,3,4,4,4,2,58,2,85,US,0.62
213,2,2,2,4,4,5,2,3,4,2,4,4,4,5,4,4,4,3,4,5,4,4,22,2,80,RO,0.56
214,2,2,4,2,3,4,3,2,5,3,2,3,2,4,2,1,2,1,4,4,4,4,19,1,60,BE,0.54
215,3,3,4,2,2,3,4,2,3,2,1,2,2,4,4,4,2,2,3,4,4,2,28,2,60,US,0.52
216,3,2,5,3,4,4,1,4,4,1,3,2,2,1,5,5,4,3,1,4,1,1,26,1,50,FR,0.6
217,4,5,4,3,2,5,4,4,4,1,1,1,4,3,5,5,4,3,1,4,3,2,23,2,60,FR,0.7
218,4,3,5,3,4,5,4,4,5,4,3,5,4,5,4,3,3,4,4,5,4,3,27,1,80,US,0.74
219,5,4,5,5,3,5,4,5,5,5,3,2,4,5,4,4,4,4,5,4,4,4,27,2,80,US,0.82
220,4,2,4,2,3,4,4,2,4,2,2,2,2,1,4,3,2,2,1,2,2,2,39,1,66,FR,0.58
221,3,1,1,1,4,2,3,2,2,2,2,2,3,2,3,2,2,2,3,2,4,3,41,1,75,FR,0.38
222,3,2,2,4,2,4,4,4,4,2,2,2,2,5,4,4,4,4,2,4,3,2,30,2,90,US,0.58
223,1,5,1,1,1,3,4,1,4,1,1,1,1,1,3,4,1,1,1,1,1,1,29,2,90,AU,0.42
224,5,3,4,2,4,5,4,5,4,4,2,5,5,5,3,3,3,3,4,5,5,3,30,1,80,US,0.72
225,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,19,1,100,IN,0.9
226,5,4,2,5,5,5,2,5,3,4,4,3,5,5,5,2,4,4,5,5,4,4,27,1,80,US,0.72
227,0,2,2,2,4,4,2,5,4,2,2,1,2,3,4,1,4,4,4,1,2,2,22,1,75,US,0.5
228,4,4,5,2,2,4,4,3,5,2,2,2,3,4,3,2,2,2,1,2,4,1,43,2,90,GB,0.66
